iter	Passed	Remaining
0	42	42108
1	85	42820
2	121	40362
3	162	40395
4	200	39917
5	243	40386
6	288	40856
7	341	42372
8	386	42538
9	436	43243
10	483	43510
11	525	43232
12	567	43089
13	600	42291
14	639	41993
15	674	41496
16	716	41424
17	757	41320
18	787	40652
19	819	40148
20	853	39782
21	887	39435
22	920	39093
23	953	38762
24	986	38460
25	1017	38121
26	1051	37897
27	1085	37678
28	1116	37396
29	1147	37090
30	1178	36827
31	1211	36639
32	1245	36490
33	1278	36321
34	1312	36183
35	1344	36005
36	1376	35836
37	1410	35716
38	1445	35608
39	1479	35503
40	1515	35441
41	1551	35385
42	1587	35323
43	1625	35313
44	1662	35276
45	1702	35310
46	1744	35372
47	1788	35471
48	1822	35377
49	1852	35192
50	1885	35083
51	1918	34983
52	1951	34877
53	1982	34732
54	2014	34610
55	2048	34524
56	2077	34374
57	2110	34279
58	2142	34175
59	2174	34066
60	2206	33958
61	2237	33857
62	2269	33756
63	2304	33709
64	2334	33584
65	2367	33507
66	2397	33391
67	2430	33307
68	2462	33231
69	2496	33163
70	2526	33052
71	2556	32956
72	2590	32894
73	2624	32837
74	2657	32774
75	2686	32668
76	2719	32603
77	2753	32548
78	2787	32493
79	2824	32480
80	2859	32439
81	2893	32394
82	2926	32328
83	2958	32267
84	2997	32272
85	3037	32285
86	3070	32217
87	3106	32192
88	3142	32166
89	3177	32132
90	3211	32083
91	3241	31990
92	3270	31894
93	3301	31821
94	3334	31764
95	3364	31681
96	3394	31603
97	3427	31545
98	3456	31453
99	3490	31416
100	3525	31381
101	3560	31343
102	3594	31300
103	3625	31235
104	3658	31187
105	3686	31090
106	3714	31003
107	3748	30961
108	3784	30933
109	3814	30862
110	3849	30827
111	3882	30781
112	3917	30751
113	3954	30732
114	3986	30682
115	4019	30629
116	4052	30585
117	4088	30557
118	4124	30538
119	4160	30508
120	4196	30483
121	4232	30462
122	4264	30409
123	4304	30408
124	4342	30399
125	4385	30417
126	4418	30371
127	4453	30339
128	4487	30301
129	4522	30265
130	4556	30223
131	4586	30160
132	4615	30086
133	4645	30024
134	4677	29970
135	4712	29937
136	4741	29868
137	4774	29824
138	4807	29779
139	4836	29711
140	4867	29655
141	4896	29587
142	4927	29527
143	4960	29484
144	4994	29450
145	5025	29396
146	5064	29389
147	5098	29349
148	5131	29305
149	5160	29244
150	5192	29196
151	5224	29148
152	5256	29100
153	5287	29049
154	5317	28989
155	5347	28932
156	5380	28888
157	5417	28868
158	5451	28833
159	5485	28800
160	5521	28771
161	5555	28735
162	5590	28708
163	5630	28699
164	5665	28672
165	5698	28631
166	5734	28602
167	5766	28558
168	5804	28542
169	5839	28510
170	5877	28491
171	5915	28476
172	5954	28462
173	5993	28450
174	6029	28425
175	6069	28417
176	6103	28380
177	6138	28345
178	6175	28322
179	6210	28293
180	6252	28290
181	6290	28270
182	6322	28225
183	6358	28196
184	6394	28170
185	6427	28129
186	6462	28098
187	6499	28072
188	6531	28024
189	6563	27983
190	6593	27925
191	6620	27862
192	6677	27922
193	6714	27896
194	6748	27858
195	6783	27828
196	6822	27809
197	6860	27786
198	6899	27773
199	6937	27749
200	6976	27731
201	7016	27717
202	7051	27685
203	7082	27635
204	7116	27599
205	7149	27555
206	7181	27512
207	7214	27471
208	7245	27422
209	7274	27366
210	7307	27325
211	7340	27282
212	7371	27235
213	7403	27193
214	7433	27142
215	7467	27105
216	7498	27057
217	7532	27018
218	7566	26983
219	7600	26945
220	7632	26902
221	7660	26846
222	7693	26805
223	7723	26756
224	7755	26713
225	7785	26663
226	7812	26605
227	7844	26560
228	7877	26522
229	7906	26469
230	7938	26426
231	7971	26388
232	8003	26345
233	8039	26316
234	8074	26285
235	8110	26254
236	8146	26228
237	8180	26191
238	8218	26168
239	8253	26137
240	8286	26098
241	8320	26060
242	8350	26013
243	8386	25983
244	8418	25942
245	8451	25903
246	8484	25864
247	8514	25817
248	8545	25772
249	8577	25733
250	8610	25694
251	8645	25662
252	8675	25614
253	8707	25573
254	8742	25541
255	8773	25498
256	8805	25456
257	8834	25407
258	8866	25368
259	8901	25334
260	8934	25298
261	8966	25255
262	8995	25207
263	9028	25169
264	9064	25140
265	9095	25098
266	9127	25056
267	9157	25011
268	9192	24979
269	9225	24942
270	9256	24901
271	9289	24863
272	9323	24827
273	9357	24794
274	9389	24754
275	9424	24723
276	9461	24696
277	9501	24676
278	9539	24653
279	9572	24614
280	9604	24576
281	9640	24544
282	9673	24508
283	9705	24469
284	9736	24426
285	9768	24386
286	9803	24354
287	9831	24306
288	9864	24268
289	9895	24226
290	9926	24185
291	9955	24138
292	9985	24094
293	10015	24050
294	10044	24003
295	10075	23964
296	10105	23919
297	10135	23876
298	10162	23826
299	10190	23776
300	10219	23732
301	10249	23689
302	10276	23639
303	10303	23590
304	10331	23543
305	10362	23501
306	10391	23457
307	10422	23416
308	10454	23379
309	10483	23334
310	10513	23291
311	10540	23243
312	10570	23201
313	10602	23162
314	10636	23129
315	10669	23095
316	10702	23059
317	10731	23016
318	10767	22986
319	10804	22960
320	10840	22930
321	10872	22893
322	10902	22852
323	10932	22810
324	10963	22770
325	10992	22726
326	11023	22686
327	11051	22642
328	11080	22598
329	11111	22559
330	11137	22510
331	11164	22464
332	11191	22416
333	11219	22372
334	11246	22325
335	11276	22284
336	11304	22240
337	11334	22199
338	11363	22158
339	11393	22117
340	11419	22068
341	11450	22029
342	11479	21988
343	11514	21958
344	11550	21929
345	11586	21900
346	11620	21868
347	11656	21839
348	11694	21814
349	11730	21785
350	11765	21753
351	11798	21720
352	11832	21687
353	11874	21669
354	11914	21647
355	11953	21622
356	11993	21600
357	12035	21582
358	12074	21558
359	12113	21534
360	12149	21506
361	12186	21477
362	12218	21441
363	12256	21414
364	12290	21382
365	12320	21341
366	12351	21302
367	12381	21264
368	12411	21223
369	12440	21182
370	12470	21142
371	12498	21099
372	12526	21056
373	12555	21014
374	12579	20965
375	12608	20925
376	12637	20883
377	12667	20844
378	12697	20804
379	12725	20762
380	12757	20727
381	12788	20689
382	12817	20649
383	12845	20606
384	12876	20568
385	12906	20530
386	12937	20493
387	12970	20458
388	13001	20421
389	13031	20381
390	13060	20342
391	13091	20305
392	13123	20268
393	13157	20237
394	13195	20210
395	13225	20172
396	13260	20141
397	13295	20110
398	13330	20079
399	13361	20042
400	13395	20009
401	13430	19978
402	13460	19940
403	13490	19902
404	13521	19865
405	13550	19824
406	13581	19787
407	13610	19748
408	13636	19705
409	13665	19665
410	13696	19628
411	13727	19592
412	13757	19553
413	13787	19515
414	13820	19481
415	13851	19444
416	13877	19401
417	13909	19367
418	13939	19329
419	13968	19289
420	13994	19246
421	14025	19209
422	14055	19172
423	14084	19133
424	14114	19096
425	14143	19057
426	14170	19015
427	14201	18978
428	14228	18938
429	14259	18902
430	14287	18862
431	14317	18824
432	14349	18789
433	14378	18751
434	14410	18717
435	14441	18681
436	14471	18643
437	14507	18615
438	14542	18583
439	14574	18549
440	14614	18525
441	14647	18491
442	14682	18460
443	14714	18426
444	14746	18391
445	14774	18352
446	14803	18314
447	14833	18277
448	14867	18245
449	14896	18206
450	14923	18165
451	14955	18131
452	14985	18095
453	15015	18058
454	15048	18024
455	15079	17990
456	15105	17948
457	15140	17916
458	15172	17882
459	15202	17846
460	15231	17808
461	15261	17772
462	15289	17733
463	15319	17697
464	15347	17657
465	15377	17621
466	15406	17584
467	15440	17552
468	15471	17516
469	15499	17477
470	15528	17440
471	15560	17406
472	15590	17370
473	15621	17335
474	15651	17299
475	15679	17260
476	15709	17224
477	15742	17191
478	15775	17159
479	15811	17129
480	15846	17098
481	15880	17066
482	15914	17034
483	15950	17004
484	15985	16974
485	16014	16936
486	16044	16900
487	16070	16861
488	16098	16822
489	16130	16788
490	16158	16751
491	16186	16712
492	16211	16672
493	16240	16634
494	16269	16598
495	16298	16561
496	16329	16526
497	16360	16492
498	16389	16455
499	16417	16417
500	16447	16381
501	16476	16345
502	16507	16310
503	16535	16272
504	16569	16241
505	16597	16204
506	16630	16170
507	16660	16136
508	16693	16103
509	16722	16066
510	16748	16027
511	16776	15990
512	16805	15953
513	16832	15915
514	16863	15881
515	16892	15844
516	16920	15807
517	16948	15770
518	16976	15733
519	17009	15701
520	17039	15665
521	17073	15634
522	17109	15604
523	17165	15593
524	17208	15569
525	17244	15539
526	17284	15513
527	17322	15485
528	17360	15457
529	17395	15425
530	17426	15391
531	17461	15360
532	17498	15331
533	17532	15300
534	17568	15269
535	17602	15238
536	17640	15209
537	17678	15181
538	17715	15152
539	17751	15121
540	17785	15089
541	17820	15059
542	17853	15025
543	17886	14992
544	17916	14958
545	17950	14925
546	17985	14894
547	18021	14864
548	18055	14832
549	18087	14798
550	18118	14764
551	18149	14730
552	18181	14696
553	18213	14663
554	18247	14631
555	18280	14597
556	18313	14565
557	18345	14531
558	18379	14500
559	18416	14469
560	18452	14439
561	18482	14404
562	18515	14371
563	18556	14345
564	18590	14313
565	18621	14278
566	18654	14245
567	18685	14211
568	18716	14176
569	18744	14140
570	18776	14106
571	18806	14072
572	18836	14037
573	18865	14001
574	18897	13967
575	18924	13930
576	18949	13892
577	18978	13856
578	19006	13819
579	19032	13781
580	19061	13746
581	19092	13712
582	19119	13675
583	19148	13639
584	19176	13603
585	19205	13568
586	19235	13533
587	19263	13497
588	19292	13462
589	19320	13426
590	19350	13391
591	19378	13355
592	19406	13319
593	19436	13284
594	19466	13250
